Update Purchase Order	Update Purchase Order	PUT	{{base_url}}/PurchaseOrders/{{po_id}}
Submit PO for Approval	Submit PO for Approval	PUT	{{base_url}}/PurchaseOrders/{{po_id}}/submit
Approve Purchase Order	Approve Purchase Order	PUT	{{base_url}}/PurchaseOrders/{{po_id}}/approve
Cancel Purchase Order	Cancel Purchase Order	PUT	{{base_url}}/PurchaseOrders/{{po_id}}/cancel
Receive Goods (GRN)	Receive Goods (GRN)	POST	{{base_url}}/PurchaseOrders/{{po_id}}/grn
Receive Goods Bulk (CSV)	Receive Goods Bulk (CSV)	POST	{{base_url}}/PurchaseOrders/{{po_id}}/grn/bulk
Get Goods Receipts for PO	Get Goods Receipts for PO	GET	{{base_url}}/PurchaseOrders/{{po_id}}/grn
Cancel Goods Receipt	Cancel Goods Receipt	POST	{{base_url}}/PurchaseOrders/receipts/{{grn_id}}/cancel
Get All Transfers	Get All Transfers	GET	{{base_url}}/Transfers
Search Transfers (Dynamic)	Search Transfers (Dynamic)	POST	{{base_url}}/Transfers/search
Get Transfer By ID	Get Transfer By ID	GET	{{base_url}}/Transfers/{{transfer_id}}
Create Transfer	Create Transfer	POST	{{base_url}}/Transfers
Approve Transfer	Approve Transfer	PUT	{{base_url}}/Transfers/{{transfer_id}}/approve
Dispatch Transfer	Dispatch Transfer	PUT	{{base_url}}/Transfers/{{transfer_id}}/dispatch
Receive Transfer	Receive Transfer	PUT	{{base_url}}/Transfers/{{transfer_id}}/receive
Bin-to-Bin Transfer	Bin-to-Bin Transfer	POST	{{base_url}}/Transfers/bin-to-bin
Get All Adjustments	Get All Adjustments	GET	{{base_url}}/StockAdjustments
Get Adjustment By ID	Get Adjustment By ID	GET	{{base_url}}/StockAdjustments/{{stock_adjustment_id}}
Create Adjustment	Create Adjustment	POST	{{base_url}}/StockAdjustments
Approve Adjustment	Approve Adjustment	PUT	{{base_url}}/StockAdjustments/{{stock_adjustment_id}}/approve
Cancel Adjustment	Cancel Adjustment	POST	{{base_url}}/StockAdjustments/{{stock_adjustment_id}}/cancel
Generate Barcode	Generate Barcode	POST	{{base_url}}/Barcodes/generate
Batch Generate Barcodes	Batch Generate Barcodes	POST	{{base_url}}/Barcodes/batch-generate
Scan Barcode	Scan Barcode	POST	{{base_url}}/Barcodes/scan
Get Product Barcodes	Get Product Barcodes	GET	{{base_url}}/Barcodes/product/{{product_id}}
Get Barcode Image	Get Barcode Image	GET	{{base_url}}/Barcodes/{{barcode_id}}/image
Mark Invoice Under Review	Mark Invoice Under Review	POST	{{base_url}}/Invoices/{{supplier_invoice_id}}/under-review
Match Invoice	Match Invoice	POST	{{base_url}}/Invoices/{{supplier_invoice_id}}/match
Pay Invoice	Pay Invoice	POST	{{base_url}}/Invoices/{{supplier_invoice_id}}/pay
Void Invoice	Void Invoice	POST	{{base_url}}/Invoices/{{supplier_invoice_id}}/void
Upload File	Upload File	POST	{{base_url}}/Files/upload
Get Files for Entity	Get Files for Entity	GET	{{base_url}}/Files/Supplier/{{supplier_id}}
Download File	Download File	GET	{{base_url}}/Files/<fileId>/download
Delete File	Delete File	DELETE	{{base_url}}/Files/<fileId>
Verify File	Verify File	PUT	{{base_url}}/Files/<fileId>/verify
Get Master Data	Get Master Data	GET	{{base_url}}/Lookup/master-data
Get My Inbox	Get My Inbox	GET	{{base_url}}/Notifications
Get Unread Count	Get Unread Count	GET	{{base_url}}/Notifications/unread-count
Mark Notification Read	Mark Notification Read	PUT	{{base_url}}/Notifications/{{notification_id}}/read
Mark All Notifications Read	Mark All Notifications Read	PUT	{{base_url}}/Notifications/read-all
Inventory Valuation	Inventory Valuation	GET	{{base_url}}/Reports/inventory-valuation?warehouseId={{warehouse_id}}&method=WeightedAverage
Stock Movements Report	Stock Movements Report	GET	{{base_url}}/Reports/stock-movements?warehouseId={{warehouse_id}}
Dead Stock Report	Dead Stock Report	GET	{{base_url}}/Reports/dead-stock?warehouseId={{warehouse_id}}&daysThreshold=90
Shrinkage Report	Shrinkage Report	GET	{{base_url}}/Reports/shrinkage?warehouseId={{warehouse_id}}
Supplier Performance Report	Supplier Performance Report	GET	{{base_url}}/Reports/supplier-performance?supplierId={{supplier_id}}
PO Fulfillment Report	PO Fulfillment Report	GET	{{base_url}}/Reports/po-fulfillment?warehouseId={{warehouse_id}}
Audit Log	Audit Log	GET	{{base_url}}/Reports/audit-log?page=1&pageSize=50
Warehouse Utilization	Warehouse Utilization	GET	{{base_url}}/Reports/warehouse-utilization?warehouseId={{warehouse_id}}
Override Audit Report	Override Audit Report	GET	{{base_url}}/Reports/override-audit?warehouseId={{warehouse_id}}
Supplier Login	Supplier Login	POST	{{base_url}}/supplier/auth/login
Supplier Refresh Token	Supplier Refresh Token	POST	{{base_url}}/supplier/auth/refresh
Supplier Logout	Supplier Logout	POST	{{base_url}}/supplier/auth/logout
Supplier Change Password	Supplier Change Password	PUT	{{base_url}}/supplier/auth/change-password
Supplier Self-Register	Supplier Self-Register	POST	{{base_url}}/supplier/auth/register
Verify Email (OTP)	Verify Email (OTP)	POST	{{base_url}}/supplier/auth/verify-email
Complete Registration (Invite Flow)	Complete Registration (Invite Flow)	POST	{{base_url}}/supplier/auth/complete-registration
Get My Profile	Get My Profile	GET	{{base_url}}/supplier/profile
Update Profile	Update Profile	PUT	{{base_url}}/supplier/profile
Upload Logo	Upload Logo	POST	{{base_url}}/supplier/profile/logo
Get Onboarding Status	Get Onboarding Status	GET	{{base_url}}/supplier/profile/status
Submit Onboarding Info	Submit Onboarding Info	POST	{{base_url}}/supplier/profile/submit-info
Get Agreement	Get Agreement	GET	{{base_url}}/supplier/profile/agreement
Accept Agreement	Accept Agreement	POST	{{base_url}}/supplier/profile/agreement/accept
Get Dashboard	Get Dashboard	GET	{{base_url}}/supplier/dashboard
Get My Catalogue	Get My Catalogue	GET	{{base_url}}/supplier/catalogue
Add Catalogue Item	Add Catalogue Item	POST	{{base_url}}/supplier/catalogue
Update Catalogue Item	Update Catalogue Item	PUT	{{base_url}}/supplier/catalogue/{{supplier_product_id}}
Deactivate Catalogue Item	Deactivate Catalogue Item	DELETE	{{base_url}}/supplier/catalogue/{{supplier_product_id}}
Get My Purchase Orders	Get My Purchase Orders	GET	{{base_url}}/supplier/purchase-orders
Get PO Detail	Get PO Detail	GET	{{base_url}}/supplier/purchase-orders/{{po_id}}
Respond to PO (Accept/Decline)	Respond to PO (Accept/Decline)	POST	{{base_url}}/supplier/purchase-orders/{{po_id}}/respond
Update Delivery Date	Update Delivery Date	PUT	{{base_url}}/supplier/purchase-orders/{{po_id}}/delivery-date
Mark Dispatched	Mark Dispatched	POST	{{base_url}}/supplier/purchase-orders/{{po_id}}/dispatch
Upload Invoice (PDF)	Upload Invoice (PDF)	POST	{{base_url}}/supplier/invoices
Get My Invoices	Get My Invoices	GET	{{base_url}}/supplier/invoices
Get Invoice Detail	Get Invoice Detail	GET	{{base_url}}/supplier/invoices/{{supplier_invoice_id}}
Download Invoice PDF	Download Invoice PDF	GET	{{base_url}}/supplier/invoices/{{supplier_invoice_id}}/download
